nombrelugar;nombreciudad;nombrepais;fonocontacto
1;Museo del Louvre;París;Francia;133-154-268
2;Galería Uffizi;Florencia;Italia;433-666-975
3;La basílica de San Pedro;Roma;Italia;433-666-975
4;Museos Vaticanos;Roma;Italia;433-666-975
5;Royal Academy of Arts;Westminster;Inglaterra;129-666-539
6;Basílica de Santa María del Popolo;Roma;Italia;433-666-975
7;El Museo de Bellas Artes de Nancy;Nancy;Francia;133-154-268
8;Museo de la Ópera del duomo;Florencia;Italia;433-666-975
9;Santa María del Fiore;Florencia;Italia;433-666-975
10;Piazza di Floros;Antwerp;Bélgica;758-382-381
11;Piazza Navona;Roma;Italia;433-666-975
12;Iglesia de Santa María de la Victoria;Roma;Italia;433-666-975
13;Piazza della Minerva;Roma;Italia;433-666-975
14;Piazza San Pietro;Roma;Italia;433-666-975
15;Galería Borghese;Roma;Italia;433-666-975
16;Museo de la ciudad de Bruselas;Bruselas;Bélgica;758-382-381
17;Santa Maria delle Grazie;Milán;Italia;433-666-975
18;Galería de la Academia;Florencia;Italia;433-666-975
19;San Pietro in Vincoli;Roma;Italia;433-666-975
20;Capilla Sixtina;Roma;Italia;433-666-975
21;Galería de Pinturas de los Maestros Antiguos;Dresde;Alemania;199-786-913
22;Museo Condé;Chantilly;Francia;133-154-268
