0;nombrelugar;horaapertura;horacierre;precio
1;Museo del Louvre;9:00:00;18:00:00;20
2;Galería Uffizi;10:00:00;18:00:00;12
4;Museos Vaticanos;9:00:00;16:00:00;17
5;Royal Academy of Arts;10:00:00;18:00:00;30
7;El Museo de Bellas Artes de Nancy;10:00:00;18:00:00;30
8;Museo de la Ópera del duomo;10:00:00;18:00:00;15
15;Galería Borghese;9:00:00;16:00:00;15
16;Museo de la ciudad de Bruselas;10:00:00;17:00:00;10
18;Galería de la Academia;9:00:00;16:00:00;6
21;Galería de Pinturas de los Maestros Antiguos;10:00:00;18:00:00;20
22;Museo Condé;10:00:00;18:00:00;40
