0;nombreobra;tecnica
1;San Sebastián;Óleo sobre lienzo
2;La Anunciación;Óleo y temple sobre tabla
3;Bautismo de Cristo;Óleo sobre tabla
5;El Santo Entierro;Óleo sobre lienzo
7;Crucifixión de San Pedro;Óleo sobre lienzo
8;La Anunciación;Pintura al Óleo
9;La cabeza de Medusa;Óleo sobre lienzo
11;La Libertad guiando al pueblo;Óleo sobre lienzo
22;Maesta di Ognissanti;Panel
24;Polittico di Badia;Tempera sobre panel
25;La consagración de Napoleón;Óleo sobre lienzo
28;La Mona Lisa;Pintura al óleo sobre tabla de álamo
35;La transfiguración;Temple y óleo sobre madera
36;Madonna Sixtina;Óleo sobre lienzo
37;Las Gracias;Óleo sobre tabla
38;La primavera;Temple sobre tabla
39;El nacimiento de Venus;Temple sobre lienzo
