nombreobra;nombreartista;periodo;anoinicio;anotermino;nombrelugar
San Sebastián;Andrea Mantegna;Renacimiento;1479;1480;Museo del Louvre
La Anunciación;Andrea del Verrocchio;Renacimiento;1472;1475;Galería Uffizi
Bautismo de Cristo;Andrea del Verrocchio;Renacimiento;1472;1475;Galería Uffizi
La Estatua de San Pedro;Arnolfo di Cambio;Gótico;1300;1305;La basílica de San Pedro
El Santo Entierro;Caravaggio;Barroco;1602;1604;Museos Vaticanos
Tondo Taddei;Caravaggio;Renacimiento;1504;1506;Royal Academy of Arts
Crucifixión de San Pedro;Caravaggio;Barroco;1600;1601;Basílica de Santa María del Popolo
La Anunciación;Caravaggio;Barroco;1607;1608;El Museo de Bellas Artes de Nancy
La cabeza de Medusa;Caravaggio;Barroco;1596;1597;Galería Uffizi
María Magdalena Penitente;Donatello;Renacimiento;1453;1455;Museo de la Ópera del duomo
La Libertad guiando al pueblo;Eugene Delacroix;Romanticismo;1829;1830;Museo del Louvre
El juicio Final;Federico Zuccaro;Renacimiento;1541;1563;Santa María del Fiore
Pitufiescultura;Floris Geerts;Neoclasicismo Romano de mediados del siglo XVII 1/2;2018;2019;Piazza di Floros
PitufiFresco;Floris Geerts;Neoclasicismo Romano de mediados del siglo XVII 1/2;2019;2020;Museo del Louvre
La Fuente de Neptuno;Giacomo della Porta;Renacimiento;1573;1574;Piazza Navona
La Fuente de los Cuatro Ríos;Gian Lorenzo Bernini;Barroco;1648;1651;Piazza Navona
La anunciación;Gian Lorenzo Bernini;Barroco;1618;1619;Museo del Louvre
Éxtasis de Santa Teresa;Gian Lorenzo Bernini;Barroco;1645;1652;Iglesia de Santa María de la Victoria
Pulcin della Minerva;Gian Lorenzo Bernini;Barroco;1666;1667;Piazza della Minerva
Santos Piazza San Pietro;Gian Lorenzo Bernini;Barroco;1656;1667;Piazza San Pietro
Apolo y Dafne;Gian Lorenzo Bernini;Barroco;1622;1625;Galería Borghese
El juicio Final;Giorgio Vasari;Renacimiento;1541;1563;Santa María del Fiore
Maesta di Ognissanti;Giotto;Gótico;1309;1310;Galería Uffizi
La anunciación;Giotto;Gótico;1300;1304;Museo del Louvre
Polittico di Badia;Giotto;Gótico;1299;1300;Galería Uffizi
La consagración de Napoleón;Jacques-Louis David;Neoclasicismo;1805;1807;Museo del Louvre
Manneken Pis;Jerome Duquesnoy;Barroco;1618;1619;Museo de la ciudad de Bruselas
Pitufiescultura;Kristin Geerts;Neoclasicismo Romano de mediados del siglo XVII 1/2;2018;2019;Piazza di Floros
Bautismo de Cristo;Leonardo da Vinci;Renacimiento;1472;1475;Galería Uffizi
La última cena;Leonardo da Vinci;Renacimiento;1495;1498;Santa Maria delle Grazie
La Anunciación;Leonardo da Vinci;Renacimiento;1472;1475;Galería Uffizi
La Mona Lisa;Leonardo da Vinci;Renacimiento;1503;1519;Museo del Louvre
La Piedad;Michelangelo Buonarroti;Renacimiento;1498;1499;La basílica de San Pedro
El David;Michelangelo Buonarroti;Renacimiento;1501;1504;Galería de la Academia
El Moisés;Michelangelo Buonarroti;Renacimiento;1513;1515;San Pietro in Vincoli
La creación de Adán;Michelangelo Buonarroti;Renacimiento;1500;1511;Capilla Sixtina
El Juicio Final;Michelangelo Buonarroti;Renacimiento;1537;1541;Capilla Sixtina
Estancias de Rafael;Raffaello Sanzio;Renacimiento;1508;1524;Museos Vaticanos
La transfiguración;Raffaello Sanzio;Renacimiento;1517;1520;Museos Vaticanos
Madonna Sixtina;Raffaello Sanzio;Renacimiento;1513;1514;Galería de Pinturas de los Maestros Antiguos
Las Gracias;Raffaello Sanzio;Renacimiento;1504;1505;Museo Condé
La primavera;Sandro Botticelli;Renacimiento;1477;1478;Galería Uffizi
El nacimiento de Venus;Sandro Botticelli;Renacimiento;1482;1485;Galería Uffizi
