nombreobra;tecnica
San Sebastián;Óleo sobre lienzo
La Anunciación;Óleo y temple sobre tabla
Bautismo de Cristo;Óleo sobre tabla
El Santo Entierro;Óleo sobre lienzo
Crucifixión de San Pedro;Óleo sobre lienzo
La Anunciación;Pintura al Óleo
La cabeza de Medusa;Óleo sobre lienzo
La Libertad guiando al pueblo;Óleo sobre lienzo
Maesta di Ognissanti;Panel
Polittico di Badia;Tempera sobre panel
La consagración de Napoleón;Óleo sobre lienzo
La Mona Lisa;Pintura al óleo sobre tabla de álamo
La transfiguración;Temple y óleo sobre madera
Madonna Sixtina;Óleo sobre lienzo
Las Gracias;Óleo sobre tabla
La primavera;Temple sobre tabla
El nacimiento de Venus;Temple sobre lienzo
