nombrelugar;nombreciudad;nombrepais;fonocontacto
0;Museo del Louvre;París;Francia;133-154-268
1;Galería Uffizi;Florencia;Italia;433-666-975
2;Galería Uffizi;Florencia;Italia;433-666-975
3;La basílica de San Pedro;Roma;Italia;433-666-975
4;Museos Vaticanos;Roma;Italia;433-666-975
5;Royal Academy of Arts;Westminster;Inglaterra;129-666-539
6;Basílica de Santa María del Popolo;Roma;Italia;433-666-975
7;El Museo de Bellas Artes de Nancy;Nancy;Francia;133-154-268
8;Galería Uffizi;Florencia;Italia;433-666-975
9;Museo de la Ópera del duomo;Florencia;Italia;433-666-975
10;Museo del Louvre;París;Francia;133-154-268
11;Santa María del Fiore;Florencia;Italia;433-666-975
12;Piazza di Floros;Antwerp;Bélgica;758-382-381
13;Museo del Louvre;París;Francia;133-154-268
14;Piazza Navona;Roma;Italia;433-666-975
15;Piazza Navona;Roma;Italia;433-666-975
16;Museo del Louvre;París;Francia;133-154-268
17;Iglesia de Santa María de la Victoria;Roma;Italia;433-666-975
18;Piazza della Minerva;Roma;Italia;433-666-975
19;Piazza San Pietro;Roma;Italia;433-666-975
20;Galería Borghese;Roma;Italia;433-666-975
21;Santa María del Fiore;Florencia;Italia;433-666-975
22;Galería Uffizi;Florencia;Italia;433-666-975
23;Museo del Louvre;París;Francia;133-154-268
24;Galería Uffizi;Florencia;Italia;433-666-975
25;Museo del Louvre;París;Francia;133-154-268
26;Museo de la ciudad de Bruselas;Bruselas;Bélgica;758-382-381
27;Piazza di Floros;Antwerp;Bélgica;758-382-381
28;Galería Uffizi;Florencia;Italia;433-666-975
29;Santa Maria delle Grazie;Milán;Italia;433-666-975
30;Galería Uffizi;Florencia;Italia;433-666-975
31;Museo del Louvre;París;Francia;133-154-268
32;La basílica de San Pedro;Roma;Italia;433-666-975
33;Galería de la Academia;Florencia;Italia;433-666-975
34;San Pietro in Vincoli;Roma;Italia;433-666-975
35;Capilla Sixtina;Roma;Italia;433-666-975
36;Capilla Sixtina;Roma;Italia;433-666-975
37;Museos Vaticanos;Roma;Italia;433-666-975
38;Museos Vaticanos;Roma;Italia;433-666-975
39;Galería de Pinturas de los Maestros Antiguos;Dresde;Alemania;199-786-913
40;Museo Condé;Chantilly;Francia;133-154-268
41;Galería Uffizi;Florencia;Italia;433-666-975
42;Galería Uffizi;Florencia;Italia;433-666-975
